ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
10.10,400 m²,5 + 2,25 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","17.750.000
TL"
10.11,120 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.100.000
TL"
10.12,125 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.750.000
TL"
10.13,85 m²,2 + 1,34 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.300.000
TL"
10.14,130 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.950.000
TL"
10.15,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.100.000
TL"
10.16,55 m²,1 + 1,Sıfır Bina,İzmir,"Balçova, Çetin Emeç Mahallesi","3.300.000
TL"
10.17,400 m²,4 + 2,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","15.000.000
TL"
10.18,145 m²,3 + 1,20 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.950.000
TL"
10.19,105 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.450.000
TL"
10.20,90 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.500.000
TL"
10.21,120 m²,3 + 1,6 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","5.500.000
TL"
10.22,220 m²,4 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","8.500.000
TL"
10.23,105 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.600.000
TL"
10.24,45 m²,1 + 1,5 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.750.000
TL"
11.1,135 m²,2 + 1,25 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","6.000.000
TL"
11.2,115 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.500.000
TL"
